document,title,type,subtype,region,order,level,section,tokens,판정,token_deficit,권장_보강_토큰,paragraphs,문단_판정,측정_방식,chars,bytes
[청연] 개방.md,[청연] 개방,단체,일반,청연,1,2,개요,275,고신뢰 부족,25,45,3,통과,보정 추정,418,1002
[청연] 개방.md,[청연] 개방,단체,일반,청연,3,2,기원과 전승,250,고신뢰 부족,50,70,3,통과,보정 추정,401,975
[청연] 개방.md,[청연] 개방,단체,일반,청연,4,2,무공과 수행 색채,274,고신뢰 부족,26,46,3,통과,보정 추정,432,1032
[청연] 개방.md,[청연] 개방,단체,일반,청연,5,2,조직 구조,243,고신뢰 부족,57,77,3,통과,보정 추정,374,892
[청연] 개방.md,[청연] 개방,단체,일반,청연,6,2,대외 관계,227,고신뢰 부족,73,93,3,통과,보정 추정,361,877
[청연] 개방.md,[청연] 개방,단체,일반,청연,7,2,정합성 메모,130,고신뢰 부족,170,190,2,통과,보정 추정,224,556
[청연] 곤륜파.md,[청연] 곤륜파,단체,일반,청연,1,2,개요,233,고신뢰 부족,67,87,3,통과,보정 추정,373,903
[청연] 곤륜파.md,[청연] 곤륜파,단체,일반,청연,2,2,대표 거점과 영향권,314,경계,0,6,2,통과,보정 추정,493,1160
[청연] 곤륜파.md,[청연] 곤륜파,단체,일반,청연,3,2,기원과 전승,224,고신뢰 부족,76,96,3,통과,보정 추정,353,861
[청연] 곤륜파.md,[청연] 곤륜파,단체,일반,청연,4,2,무공과 수행 색채,243,고신뢰 부족,57,77,3,통과,보정 추정,376,908
[청연] 곤륜파.md,[청연] 곤륜파,단체,일반,청연,5,2,조직 구조,237,고신뢰 부족,63,83,3,통과,보정 추정,363,873
[청연] 곤륜파.md,[청연] 곤륜파,단체,일반,청연,6,2,대외 관계,222,고신뢰 부족,78,98,3,통과,보정 추정,356,864
[청연] 곤륜파.md,[청연] 곤륜파,단체,일반,청연,7,2,정합성 메모,147,고신뢰 부족,153,173,2,통과,보정 추정,245,603
[청연] 공동파.md,[청연] 공동파,단체,일반,청연,1,2,개요,252,고신뢰 부족,48,68,3,통과,보정 추정,395,957
[청연] 공동파.md,[청연] 공동파,단체,일반,청연,2,2,대표 거점과 영향권,316,경계,0,4,2,통과,보정 추정,494,1164
[청연] 공동파.md,[청연] 공동파,단체,일반,청연,3,2,기원과 전승,230,고신뢰 부족,70,90,3,통과,보정 추정,365,891
[청연] 공동파.md,[청연] 공동파,단체,일반,청연,4,2,무공과 수행 색채,251,고신뢰 부족,49,69,3,통과,보정 추정,397,957
[청연] 공동파.md,[청연] 공동파,단체,일반,청연,5,2,조직 구조,241,고신뢰 부족,59,79,3,통과,보정 추정,373,903
[청연] 공동파.md,[청연] 공동파,단체,일반,청연,6,2,대외 관계,220,고신뢰 부족,80,100,3,통과,보정 추정,358,870
[청연] 공동파.md,[청연] 공동파,단체,일반,청연,7,2,정합성 메모,135,고신뢰 부족,165,185,2,통과,보정 추정,231,569
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,1,2,개요,253,고신뢰 부족,47,67,2,통과,보정 추정,383,919
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,2,2,지리·환경,256,고신뢰 부족,44,64,2,통과,보정 추정,382,932
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,3,2,역사(현재를 만든 사건들),283,추정 부족,17,37,2,통과,보정 추정,436,1052
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,4,2,통치 구조·법·행정,286,추정 부족,14,34,2,통과,보정 추정,435,1063
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,7,2,군사·치안·외교,303,경계,0,17,2,통과,보정 추정,454,1106
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,8,2,경제·산업·물류,243,고신뢰 부족,57,77,2,통과,보정 추정,372,902
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,9,2,사회·문화,247,고신뢰 부족,53,73,2,통과,보정 추정,388,956
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,10,2,종교·신앙·초상,273,고신뢰 부족,27,47,2,통과,보정 추정,428,1053
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,11,2,주요 지역(수도/핵심 거점),242,고신뢰 부족,58,78,2,통과,보정 추정,374,903
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,12,2,핵심 세력,167,고신뢰 부족,133,153,1,부족,보정 추정,255,618
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,13,2,관계,0,고신뢰 부족,300,320,0,부족,보정 추정,0,0
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,14,3,내부 권력 구도(세력 간 관계),153,고신뢰 부족,147,167,1,부족,보정 추정,232,568
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,15,3,외교 관계(주변 국가/연맹/교단),166,고신뢰 부족,134,154,1,부족,보정 추정,252,618
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,16,3,정치·생존 갈등 관계,243,고신뢰 부족,57,77,2,통과,보정 추정,368,879
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,17,3,관계 변동 조건,152,고신뢰 부족,148,168,1,부족,보정 추정,238,586
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,18,2,현재의 갈등,201,고신뢰 부족,99,119,1,부족,보정 추정,312,756
[청연] 망서루 항구.md,[청연] 망서루 항구,도시국가,항구,청연,2,2,주권과 통치,282,추정 부족,18,38,2,통과,보정 추정,423,1037
[청연] 망서루 항구.md,[청연] 망서루 항구,도시국가,항구,청연,3,2,생존 기능과 정책,218,고신뢰 부족,82,102,2,통과,보정 추정,338,824
[청연] 망서루 항구.md,[청연] 망서루 항구,도시국가,항구,청연,4,2,갈등 관계,191,고신뢰 부족,109,129,2,통과,보정 추정,286,702
[청연] 무당파.md,[청연] 무당파,단체,일반,청연,1,2,개요,259,고신뢰 부족,41,61,3,통과,보정 추정,404,984
[청연] 무당파.md,[청연] 무당파,단체,일반,청연,2,2,대표 거점과 영향권,316,경계,0,4,2,통과,보정 추정,492,1160
[청연] 무당파.md,[청연] 무당파,단체,일반,청연,3,2,기원과 전승,266,고신뢰 부족,34,54,3,통과,보정 추정,415,1019
[청연] 무당파.md,[청연] 무당파,단체,일반,청연,4,2,무공과 수행 색채,254,고신뢰 부족,46,66,3,통과,보정 추정,409,993
[청연] 무당파.md,[청연] 무당파,단체,일반,청연,5,2,조직 구조,239,고신뢰 부족,61,81,3,통과,보정 추정,375,909
[청연] 무당파.md,[청연] 무당파,단체,일반,청연,6,2,대외 관계,217,고신뢰 부족,83,103,3,통과,보정 추정,343,837
[청연] 무당파.md,[청연] 무당파,단체,일반,청연,7,2,정합성 메모,155,고신뢰 부족,145,165,2,통과,보정 추정,259,637
[청연] 무령당.md,[청연] 무령당(巫靈堂),단체,일반,청연,1,2,개요,205,고신뢰 부족,95,115,2,통과,보정 추정,338,826
[청연] 무령당.md,[청연] 무령당(巫靈堂),단체,일반,청연,2,2,신앙적 기반,193,고신뢰 부족,107,127,2,통과,보정 추정,297,727
[청연] 무령당.md,[청연] 무령당(巫靈堂),단체,일반,청연,3,2,본거지와 활동권,225,고신뢰 부족,75,95,2,통과,보정 추정,357,859
[청연] 무령당.md,[청연] 무령당(巫靈堂),단체,일반,청연,4,2,조직 구조,182,고신뢰 부족,118,138,2,통과,보정 추정,297,713
[청연] 무령당.md,[청연] 무령당(巫靈堂),단체,일반,청연,5,2,수행 체계와 무공,210,고신뢰 부족,90,110,2,통과,보정 추정,322,778
[청연] 무령당.md,[청연] 무령당(巫靈堂),단체,일반,청연,6,2,교리와 금기,202,고신뢰 부족,98,118,2,통과,보정 추정,326,796
[청연] 무령당.md,[청연] 무령당(巫靈堂),단체,일반,청연,7,2,대외 관계,192,고신뢰 부족,108,128,2,통과,보정 추정,305,749
[청연] 무림.md,[청연] 무림,개념,일반,청연,2,2,문파·단체,0,고신뢰 부족,300,320,0,부족,보정 추정,0,0
[청연] 무림.md,[청연] 무림,개념,일반,청연,3,3,무협 계통 문파·단체,24,고신뢰 부족,276,296,0,부족,보정 추정,56,118
[청연] 무림.md,[청연] 무림,개념,일반,청연,4,3,무림·선협 경계 또는 보조 단체,18,고신뢰 부족,282,302,0,부족,보정 추정,37,83
[청연] 문사원.md,[청연] 문사원(文史院),단체,일반,청연,1,2,개요,200,고신뢰 부족,100,120,2,통과,보정 추정,333,815
[청연] 문사원.md,[청연] 문사원(文史院),단체,일반,청연,2,2,신앙적 기반,187,고신뢰 부족,113,133,2,통과,보정 추정,311,765
[청연] 문사원.md,[청연] 문사원(文史院),단체,일반,청연,3,2,본거지와 활동권,225,고신뢰 부족,75,95,2,통과,보정 추정,350,842
[청연] 문사원.md,[청연] 문사원(文史院),단체,일반,청연,4,2,조직 구조,181,고신뢰 부족,119,139,2,통과,보정 추정,292,702
[청연] 문사원.md,[청연] 문사원(文史院),단체,일반,청연,5,2,수행 체계와 무공,198,고신뢰 부족,102,122,2,통과,보정 추정,311,747
[청연] 문사원.md,[청연] 문사원(文史院),단체,일반,청연,6,2,교리와 금기,193,고신뢰 부족,107,127,2,통과,보정 추정,315,763
[청연] 문사원.md,[청연] 문사원(文史院),단체,일반,청연,7,2,대외 관계,185,고신뢰 부족,115,135,2,통과,보정 추정,295,723
[청연] 백악호선문.md,[청연] 백악호선문(白岳虎禪門),단체,일반,청연,1,2,개요,219,고신뢰 부족,81,101,2,통과,보정 추정,354,868
[청연] 백악호선문.md,[청연] 백악호선문(白岳虎禪門),단체,일반,청연,2,2,신앙적 기반,196,고신뢰 부족,104,124,2,통과,보정 추정,310,764
[청연] 백악호선문.md,[청연] 백악호선문(白岳虎禪門),단체,일반,청연,3,2,본거지와 활동권,220,고신뢰 부족,80,100,2,통과,보정 추정,346,834
[청연] 백악호선문.md,[청연] 백악호선문(白岳虎禪門),단체,일반,청연,4,2,조직 구조,205,고신뢰 부족,95,115,2,통과,보정 추정,317,765
