document,title,type,subtype,region,sections,confirmed_token_missing,likely_token_missing,borderline,token_pass,paragraph_missing,estimated_deficit_confirmed,estimated_deficit_including_likely,lowest_tokens,all_format_pass
자유 탐사 연맹 공고 유형.md,자유 탐사 연맹 공고 유형,주요 개념,지침,,73,62,0,0,11,7,8099,8099,71,False
라크샤라 대륙.md,라크샤라 대륙,,,,34,25,0,0,9,0,3371,3371,124,False
용종.md,용종,개념,,범대륙,25,19,0,0,6,17,3823,3823,68,False
쌍령왕국 사티야.md,쌍령왕국 사티야,국가,주요,심연의 의회,18,16,0,0,2,1,2402,2402,0,False
유광성역 메두살리스.md,유광성역 메두살리스,국가,주요,심연의 의회,18,15,0,0,3,1,2500,2500,0,False
아우렐리아 항구.md,아우렐리아 항구,도시국가,항구,에리디안,18,15,2,1,0,7,1629,1655,0,False
자유 탐사 도시 오리진.md,자유 탐사 도시 오리진,도시국가,,에리디안,18,15,2,0,1,6,1463,1494,0,False
흑묵서고국 세피라스.md,흑묵서고국 세피라스,국가,주요,심연의 의회,18,14,1,0,3,1,2623,2642,0,False
수인종.md,수인종,종족,,,22,14,0,0,8,4,2442,2442,0,False
진주해국 마르가리온.md,진주해국 마르가리온,국가,주요,심연의 의회,18,14,0,1,3,1,2392,2392,0,False
재생왕국 아스테라케.md,재생왕국 아스테라케,국가,주요,심연의 의회,18,14,1,1,2,1,2259,2276,0,False
발라스쿠 연맹.md,발라스쿠 연맹,국가,연맹,진홍의 해협,18,14,1,0,3,6,1863,1883,0,False
[청연] 단령 막부.md,[청연] 단령 막부,국가,,청연,18,13,2,1,2,6,1304,1335,0,False
칼디라 대륙.md,칼디라 대륙,지형,대륙,,14,12,0,1,1,11,2274,2274,0,False
발가르 대륙.md,발가르 대륙,지형,대륙,,13,12,0,0,1,10,1867,1867,0,False
투누케나 부족.md,투누케나 부족,부족국가,일반,발가르,18,12,1,0,5,7,1733,1739,0,False
펠가르드 연맹.md,펠가르드 연맹,국가,연맹,네베아,18,12,2,0,4,6,1546,1560,0,False
바람의 신성 왕국 에아누르.md,바람의 신성 왕국 에아누르,국가,,에리디안,18,12,3,0,3,5,1333,1373,0,False
물의 신성 왕국 쿠아리온.md,물의 신성 왕국 쿠아리온,국가,,에리디안,18,12,2,1,3,5,1256,1287,0,False
룬다르 신성 제국.md,룬다르 신성 제국,국가,,에리디안,18,12,1,0,5,5,1174,1187,0,False
어둠의 신성 왕국 에레보스.md,어둠의 신성 왕국 에레보스,국가,,녹턴,18,12,2,0,4,2,970,1007,0,False
카르바넬 왕국.md,카르바넬 왕국,국가,,칼디라,15,12,0,0,3,0,903,903,186,False
에리디안 대륙.md,에리디안 대륙,지형,대륙,,14,11,1,0,2,9,2160,2164,0,False
위그드라실 연맹.md,위그드라실 연맹,,,,19,11,2,0,6,8,1872,1901,0,False
네베아 대륙.md,네베아 대륙,지형,대륙,,13,11,0,0,2,11,1764,1764,0,False
실란도르 대륙.md,실란도르 대륙,지형,대륙,,12,11,0,0,1,9,1557,1557,0,False
자유 탐사 연맹.md,자유 탐사 연맹,단체,주요,범대륙,15,11,0,0,4,3,1247,1247,0,False
대지의 신성 왕국 르기안.md,대지의 신성 왕국 르기안,국가,,발가르,18,11,3,1,3,5,1207,1239,0,False
아이언포지 연맹.md,아이언포지 연맹,국가,연맹,발가르,18,11,1,3,3,4,1122,1144,0,False
에리디안 제국.md,에리디안 제국,국가,,에리디안,18,11,1,1,5,2,850,861,0,False
아크나톤 제국.md,아크나톤 제국,국가,,칼디라,15,11,1,0,3,0,643,656,211,False
녹턴 대륙.md,녹턴 대륙,지형,대륙,,11,10,0,0,1,8,1570,1570,0,False
불의 신성 왕국 아그니르.md,불의 신성 왕국 아그니르,국가,,칼디라,18,10,5,1,2,7,1370,1429,0,False
에테르나 공화국.md,에테르나 공화국,국가,,발가르,18,10,4,1,3,5,1202,1269,0,False
루미나리스 신성 왕국.md,루미나리스 신성 왕국,국가,,에리디안,18,10,2,2,4,5,1117,1124,0,False
심해의 의회.md,심해의 의회,단체,,,14,10,0,1,3,1,1099,1099,105,False
공포의 의회.md,공포의 의회,단체,주요,범대륙,10,10,0,0,0,1,1080,1080,101,False
아르카 마법 연합.md,아르카 마법 연합,단체,,범대륙,10,10,0,0,0,1,918,918,121,False
셀레스티얼 실바.md,셀레스티얼 실바,국가,,실란도르,18,10,0,1,7,2,793,793,0,False
용성.md,용성,개념,,범대륙,21,9,0,0,12,8,1934,1934,51,False
카르코사 대륙.md,카르코사 대륙,지형,대륙,,13,9,0,0,4,8,1729,1729,0,False
심해의 다섯 왕국의 성물.md,심해의 다섯 왕국의 성물,아이템,주요,심연의 의회,9,9,0,0,0,1,1550,1550,0,False
에리디안 경비대.md,에리디안 경비대,단체,일반,에리디안,10,9,0,0,1,1,865,865,101,False
위그드라실 의회.md,위그드라실 의회,단체,주요,범대륙,10,9,0,0,1,2,752,752,132,False
컬트 오브 디스페어.md,컬트 오브 디스페어,단체,주요,범대륙,10,9,1,0,0,1,751,753,134,False
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,10,9,0,0,1,0,415,415,200,False
무림(武林) 최소 개념 정리.md,무림(武林) 최소 개념 정리,개념,지침,,8,8,0,0,0,8,1669,1669,1,False
선림(仙林) 최소 개념 정리.md,선림(仙林) 최소 개념 정리,개념,지침,,8,8,0,0,0,8,1599,1599,1,False
청연 대륙.md,청연 대륙,지형,대륙,,14,8,1,2,3,10,1388,1410,0,False
생명의 신성 왕국 실바니아.md,생명의 신성 왕국 실바니아,국가,,실란도르,18,8,5,1,4,1,749,793,0,False
[청연] 해월 연방.md,[청연] 해월 연방,국가,연맹,청연,18,8,3,1,6,2,669,715,0,False
이레귤러 헌터.md,이레귤러 헌터,단체,,,10,8,0,0,2,0,509,509,202,False
테라 움브라.md,테라 움브라,개념,주요,,8,7,0,0,1,3,1455,1455,0,False
안개 농도.md,안개 농도,개념,일반,범대륙,7,7,0,0,0,2,1303,1303,53,False
강철 제국 데우스.md,강철 제국 데우스,국가,,칼디라,18,7,1,2,8,4,1017,1036,0,False
[청연] 문사원.md,[청연] 문사원(文史院),단체,일반,청연,7,7,0,0,0,0,731,731,181,False
[청연] 청룡선문.md,[청연] 청룡선문(靑龍禪門),단체,일반,청연,7,7,0,0,0,0,711,711,180,False
[청연] 무령당.md,[청연] 무령당(巫靈堂),단체,일반,청연,7,7,0,0,0,0,691,691,182,False
[청연] 암향루.md,[청연] 암향루(暗香樓),단체,일반,청연,7,7,0,0,0,0,685,685,177,False
[청연] 해뢰선문.md,[청연] 해뢰선문(海雷禪門),단체,일반,청연,7,7,0,0,0,0,685,685,184,False
[청연] 수운선문.md,[청연] 수운선문(水運禪門),단체,일반,청연,7,7,0,0,0,0,671,671,187,False
[청연] 약왕곡.md,[청연] 약왕곡(藥王谷),단체,일반,청연,7,7,0,0,0,0,670,670,184,False
[청연] 백악호선문.md,[청연] 백악호선문(白岳虎禪門),단체,일반,청연,7,7,0,0,0,0,657,657,183,False
[청연] 흑야회.md,[청연] 흑야회(黑夜會),단체,일반,청연,7,7,0,0,0,0,654,654,196,False
[청연] 법도부.md,[청연] 법도부(法度府),단체,일반,청연,7,7,0,0,0,0,648,648,194,False
[청연] 월영궁.md,[청연] 월영궁(月影宮),단체,일반,청연,7,7,0,0,0,0,627,627,186,False
[청연] 풍로선문.md,[청연] 풍로선문(風路禪門),단체,일반,청연,7,7,0,0,0,0,568,568,197,False
엘드라시온 왕국.md,엘드라시온 왕국,국가,,네베아,18,6,1,2,9,1,629,645,0,False
앙그라의 안개.md,앙그라의 안개,개념,주요,,12,6,2,0,4,1,564,600,71,False
[청연] 점창파.md,[청연] 점창파,단체,일반,청연,7,6,0,1,0,0,524,524,128,False
[청연] 곤륜파.md,[청연] 곤륜파,단체,일반,청연,7,6,0,1,0,0,494,494,147,False
[청연] 종남파.md,[청연] 종남파,단체,일반,청연,7,6,0,1,0,0,483,483,142,False
[청연] 공동파.md,[청연] 공동파,단체,일반,청연,7,6,0,1,0,0,471,471,135,False
[청연] 청성파.md,[청연] 청성파,단체,일반,청연,7,6,0,1,0,0,470,470,150,False
[청연] 화산파.md,[청연] 화산파,단체,일반,청연,7,6,0,0,1,0,452,452,153,False
[청연] 아미파.md,[청연] 아미파,단체,일반,청연,7,6,0,1,0,0,423,423,154,False
검은 광기.md,검은 광기,개념,일반,,6,6,0,0,0,1,422,422,165,False
[청연] 무당파.md,[청연] 무당파,단체,일반,청연,7,6,0,1,0,0,410,410,155,False
[청연] 개방.md,[청연] 개방,단체,일반,청연,7,6,0,0,1,0,401,401,130,False
붉은 맹약왕국 바르가쉬.md,붉은 맹약왕국 바르가쉬,,,,16,6,0,0,10,0,363,363,223,False
용광왕국 하르카둠.md,용광왕국 하르카둠,,,,16,6,0,0,10,0,256,256,221,False
토템 가디언.md,토템 가디언,개념,일반,범대륙,5,5,0,0,0,1,860,860,55,False
앙그라의 못.md,앙그라의 못,개념,일반,범대륙,5,5,0,0,0,1,813,813,47,False
화폐 개념.md,화폐 개념,개념,주요,,7,5,0,1,1,5,800,800,47,False
에미르 라이트블룸 렘바이스.md,에미르 라이트블룸 렘바이스,인물,주요,,5,5,0,0,0,4,574,574,151,False
발로르 왕국.md,발로르 왕국,,,,18,5,0,0,13,2,498,498,0,False
[청연] 하오문.md,[청연] 하오문,단체,일반,청연,7,5,1,0,1,0,374,388,146,False
[청연] 소림사.md,[청연] 소림사,단체,일반,청연,7,5,1,0,1,0,309,331,144,False
갑각요새국 카르키논.md,갑각요새국 카르키논,국가,주요,심연의 의회,17,4,1,2,10,1,936,941,0,False
아라코크라.md,아라코크라,종족,,,13,4,1,0,8,1,629,640,0,False
오벨리스 항구.md,오벨리스 항구,도시국가,항구,칼디라,4,4,0,0,0,1,387,387,176,False
드로이드.md,드로이드,종족,,,6,4,1,0,1,2,361,374,161,False
길드스톤 항구.md,길드스톤 항구,도시국가,항구,칼디라,4,4,0,0,0,1,316,316,183,False
스케이븐.md,스케이븐,종족,,,5,4,0,0,1,0,109,109,247,False
[청연] 무림.md,[청연] 무림,개념,일반,청연,4,3,0,0,1,3,858,858,0,False
[청연] 선림.md,[청연] 선림,개념,일반,청연,3,3,0,0,0,2,646,646,0,False
기년법 Ausvalen Cataclysm (BAC AAC).md,기년법: Ausvalen Cataclysm (BAC/AAC),개념,주요,범대륙,3,3,0,0,0,1,371,371,112,False
테라 셀레스티아.md,테라 셀레스티아,개념,주요,,10,3,2,3,2,1,290,295,75,False
[청연] 해월진 항구.md,[청연] 해월진 항구,도시국가,항구,청연,4,3,0,1,0,0,229,229,201,False
오렐리아 항구.md,오렐리아 항구,도시국가,항구,발가르,4,3,0,0,1,0,227,227,196,False
프로스트베일 항구.md,프로스트베일 항구,도시국가,항구,네베아,4,3,0,0,1,0,222,222,190,False
[청연] 진명영 항구.md,[청연] 진명영 항구,도시국가,항구,청연,4,3,0,0,1,0,221,221,199,False
그라니타헤이븐 항구.md,그라니타헤이븐 항구,도시국가,항구,발가르,4,3,0,0,1,0,216,216,195,False
[청연] 천문대 항구.md,[청연] 천문대 항구,도시국가,항구,청연,4,3,0,0,1,0,215,215,205,False
아주르헤이븐 항구.md,아주르헤이븐 항구,도시국가,항구,실란도르,4,3,0,0,1,0,201,201,198,False
쉐도우글래스 항구.md,쉐도우글래스 항구,도시국가,항구,녹턴,4,3,0,0,1,0,197,197,202,False
리프안코르 항구.md,리프안코르 항구,도시국가,항구,실란도르,4,3,0,0,1,0,194,194,193,False
솔리움 항구.md,솔리움 항구,도시국가,항구,에리디안,4,3,0,0,1,0,191,191,196,False
오르반 항구.md,오르반 항구,도시국가,항구,에리디안,4,3,0,0,1,0,184,184,207,False
아르젠타 항구.md,아르젠타 항구,도시국가,항구,에리디안,4,3,0,0,1,0,183,183,207,False
프로스트 앵커 항구.md,프로스트 앵커 항구,도시국가,항구,발가르,4,3,0,0,1,0,183,183,203,False
옵시디언아치 항구.md,옵시디언아치 항구,도시국가,항구,녹턴,4,3,0,0,1,0,160,160,210,False
신위.md,신위,개념,주요,범대륙,7,3,0,0,4,1,157,157,216,False
천공마황국 에테르나크.md,천공마황국 에테르나크,국가,대륙,,18,2,2,1,13,2,439,453,0,False
[청연] 철갑진 항구.md,[청연] 철갑진 항구,도시국가,항구,청연,4,2,1,0,1,0,203,217,191,False
드래곤.md,드래곤,종족,,,7,2,0,1,4,0,194,194,179,False
[청연] 망서루 항구.md,[청연] 망서루 항구,도시국가,항구,청연,4,2,1,0,1,0,191,209,191,False
앙그라의 잔향.md,앙그라의 잔향,개념,일반,범대륙,7,2,0,0,5,1,181,181,157,False
대마경 아우스발렌 던전.md,대마경 아우스발렌 던전,사건,주요,에리디안,3,2,0,0,1,0,125,125,223,False
블랙헤이븐 항구.md,블랙헤이븐 항구,도시국가,항구,카르코사,4,2,0,0,2,0,105,105,218,False
아이언앵커 항구.md,아이언앵커 항구,도시국가,항구,카르코사,4,2,0,0,2,0,93,93,216,False
신앙과 종교.md,신앙과 종교,개념,주요,,7,2,0,0,5,1,8,8,295,False
[청연] 운경 황국.md,[청연] 운경 황국,국가,,청연,17,1,0,4,12,1,300,300,0,False
시초의 제국.md,시초의 제국,개념,주요,,2,1,0,0,1,1,180,180,120,False
넘어온 자들.md,넘어온 자들,개념,주요,,1,1,0,0,0,0,179,179,121,False
빛의 귀인.md,빛의 귀인,개념,주요,,2,1,0,0,1,1,160,160,140,False
카밀론 락클리프.md,카밀론 락클리프,인물,주요,,1,1,0,0,0,1,160,160,140,False
듀란 애시모르.md,듀란 애시모르,인물,주요,,1,1,0,0,0,1,157,157,143,False
크리스틴 밀러.md,크리스틴 밀러,인물,주요,,1,1,0,0,0,0,82,82,218,False
그림니르.md,그림니르,인물,주요,,1,1,0,0,0,1,67,67,233,False
던전.md,던전,개념,주요,범대륙,3,1,0,0,2,0,41,41,259,False
[청연] 흑린망룡 설화.md,[청연] 흑린망룡 설화,설화,주요,청연,7,1,3,1,2,0,24,35,276,False
가호 사냥꾼.md,가호 사냥꾼,개념,일반,,4,0,2,0,2,0,0,12,290,False
아카이럼 밀러.md,아카이럼 밀러,인물,주요,,1,0,1,0,0,0,0,17,283,False
드워프.md,드워프,종족,,,1,0,0,0,1,0,0,0,1235,True
라크샤라 - 바다피는 협곡.md,라크샤라 - 바다피는 협곡,지형,협곡,라크샤라,7,0,0,0,7,0,0,0,384,True
라크샤라 - 죽은 숨 아래.md,라크샤라 - 죽은 숨 아래,지형,지하,라크샤라,6,0,0,0,6,0,0,0,416,True
룩스테라.md,룩스테라,개념,주요,,2,0,0,0,2,0,0,0,324,True
마나와 마법.md,마나와 마법,개념,주요,,1,0,0,0,1,0,0,0,497,True
마키나.md,마키나,종족,,,1,0,0,0,1,0,0,0,1040,True
모험가.md,모험가,개념,주요,,3,0,0,0,3,0,0,0,551,True
세계수 위그드라실.md,세계수 위그드라실,개념,주요,,1,0,0,0,1,0,0,0,800,True
아그네스 밀러.md,아그네스 밀러,인물,주요,,1,0,0,0,1,0,0,0,399,True
에리나 밀러.md,에리나 밀러,인물,주요,,1,0,0,0,1,0,0,0,402,True
엘프.md,엘프,종족,,,1,0,0,0,1,0,0,0,1157,True
위스크 바람.md,위스크 바람,인물,주요,,1,0,0,0,1,0,0,0,410,True
잠식인.md,잠식인,개념,주요,,7,0,0,0,7,0,0,0,486,True
정령.md,정령,종족,일반,,5,0,0,3,2,0,0,0,302,False
정제사.md,정제사,개념,주요,,1,0,0,0,1,0,0,0,397,True
조사 거점 아르베라.md,조사 거점 아르베라,도시,주요,라크샤라,8,0,0,0,8,0,0,0,328,True
테오르 마르케인.md,테오르 마르케인,인물,주요,,1,0,0,0,1,0,0,0,562,True
